,1a. open (GBP),1b. open (USD),2a. high (GBP),2b. high (USD),3a. low (GBP),3b. low (USD),4a. close (GBP),4b. close (USD),5. volume,6. market cap (USD)
28/01/2024,33220.54088,42120.63,33790.02172,42842.68,32826.33285,41620.81,33149.89702,42031.06,27294.99838,27294.99838
27/01/2024,32986.20234,41823.51,33283.14,42200,32647.71596,41394.34,33220.54088,42120.63,16224.41667,16224.41667
26/01/2024,31517.31168,39961.09,33320.06693,42246.82,31408.02152,39822.52,32986.20234,41823.51,47384.96726,47384.96726
25/01/2024,31614.95274,40084.89,31784.79929,40300.24,31193.085,39550,31517.31168,39961.09,31022.11853,31022.11853
24/01/2024,31467.22923,39897.59,31985.7285,40555,31141.18065,39484.19,31614.94486,40084.88,39293.82861,39293.82861
23/01/2024,31207.29737,39568.02,31687.39484,40176.74,30408.3285,38555,31467.23712,39897.6,57956.63351,57956.63351
22/01/2024,32794.39838,41580.32,32880.62696,41689.65,31099.68715,39431.58,31207.29737,39568.02,55426.19911,55426.19911
21/01/2024,32885.67464,41696.05,33031.85229,41881.39,32731.82293,41500.98,32794.40627,41580.33,11730.16301,11730.16301
20/01/2024,32856.47696,41659.03,33024.88807,41872.56,32696.58381,41456.3,32885.66675,41696.04,15923.99493,15923.99493
19/01/2024,32595.00714,41327.51,33280.66348,42196.86,31768.836,40280,32856.47696,41659.03,48342.74559,48342.74559
18/01/2024,33737.50218,42776.09,33858.891,42930,32086.90294,40683.28,32594.99925,41327.5,43907.51641,43907.51641
17/01/2024,34022.89328,43137.94,34070.2626,43198,33283.6842,42200.69,33737.51007,42776.1,33266.21388,33266.21388
16/01/2024,33528.50457,42511.1,34369.97649,43578.01,33164.835,42050,34022.90117,43137.95,45045.74589,45045.74589
15/01/2024,32914.30445,41732.35,34229.91914,43400.43,32903.02604,41718.05,33528.50457,42511.1,40269.89303,40269.89303
14/01/2024,33794.20971,42847.99,33976.4073,43079,32904.564,41720,32914.30445,41732.35,28228.40894,28228.40894
13/01/2024,33742.74704,42782.74,34116.7959,43257,33469.36784,42436.12,33794.20971,42847.99,36118.47464,36118.47464
12/01/2024,36547.69549,46339.16,36686.79851,46515.53,32731.05,41500,33742.73915,42782.73,86327.93707,86327.93707
11/01/2024,36796.0098,46654,38622.22888,48969.48,35969.49952,45606.06,36547.69549,46339.16,87470.3296,87470.3296
10/01/2024,36366.957,46110,37617.77999,47695.93,34939.69393,44300.36,36796.00191,46653.99,89911.41203,89911.41203
09/01/2024,37030.28525,46951.04,37835.5164,47972,35293.27603,44748.67,36366.957,46110,69927.66617,69927.66617
08/01/2024,34646.81019,43929.01,37265.27841,47248.99,34052.1225,43175,37030.28525,46951.04,72814.57589,72814.57589
07/01/2024,34677.81398,43968.32,35081.84133,44480.59,34365.30738,43572.09,34646.81807,43929.02,23023.8508,23023.8508
06/01/2024,34817.25614,44145.12,34871.91305,44214.42,34227.25334,43397.05,34677.81398,43968.32,17835.06144,17835.06144
05/01/2024,34821.97257,44151.1,34984.7287,44357.46,33480.315,42450,34817.24826,44145.11,48075.25327,48075.25327
04/01/2024,33792.0329,42845.23,35278.21975,44729.58,33609.4804,42613.77,34821.97257,44151.1,48038.06334,48038.06334
