,1a. open (GBP),1b. open (USD),2a. high (GBP),2b. high (USD),3a. low (GBP),3b. low (USD),4a. close (GBP),4b. close (USD),5. volume,6. market cap (USD)
17/07/2023,23843.9784,30232,23926.76035,30336.96,23392.21104,29659.2,23769.8406,30138,30882.76839,30882.76839
16/07/2023,23889.34442,30289.52,24009.1795,30441.46,23711.70552,30064.29,23843.97051,30231.99,15760.1281,15760.1281
15/07/2023,23907.0744,30312,23969.30283,30390.9,23818.74,30200,23889.34442,30289.52,14118.55329,14118.55329
14/07/2023,24807.9512,31454.23,24946.581,31630,23582.13,29900,23907.08229,30312.01,60749.48424,60749.48424
13/07/2023,23960.706,30380,25083.97254,31804.2,23858.9637,30251,24807.9512,31454.23,70772.51836,70772.51836
12/07/2023,24151.65027,30622.1,24436.48928,30983.25,23826.627,30210,23960.706,30380,38108.99669,38108.99669
11/07/2023,23985.60526,30411.57,24302.70998,30813.63,23897.61,30300,24151.65027,30622.1,28476.83311,28476.83311
10/07/2023,23787.75198,30160.71,24485.80669,31045.78,23621.565,29950,23985.60526,30411.57,41262.87652,41262.87652
09/07/2023,23885.48768,30284.63,24012.38162,30445.52,23709.20534,30061.12,23787.75198,30160.71,15388.50196,15388.50196
08/07/2023,23932.86489,30344.7,23966.07705,30386.81,23696.07349,30044.47,23885.48768,30284.63,13094.59042,13094.59042
07/07/2023,23578.51775,29895.42,24015.1263,30449,23425.19447,29701.02,23932.86489,30344.7,34070.53895,34070.53895
06/07/2023,24059.13576,30504.8,24844.05,31500,23543.04992,29850.45,23578.52564,29895.43,71319.6261,71319.6261
05/07/2023,24265.55432,30766.52,24353.53381,30878.07,23818.74,30200,24059.14365,30504.81,33215.67122,33215.67122
04/07/2023,24572.89494,31156.2,24726.2892,31350.69,24149.994,30620,24265.54644,30766.51,33206.11943,33206.11943
03/07/2023,24147.64367,30617.02,24749.406,31380,24110.77195,30570.27,24572.89494,31156.2,43761.64311,43761.64311
02/07/2023,24123.09933,30585.9,24284.8617,30791,23783.2485,30155,24147.65156,30617.03,23286.41019,23286.41019
01/07/2023,24033.25851,30471.99,24182.80392,30661.6,23913.83356,30320.57,24123.09933,30585.9,17501.75075,17501.75075
30/06/2023,24013.7934,30447.31,24672.1134,31282,23266.65,29500,24033.2664,30472,89419.07618,89419.07618
29/06/2023,23722.04538,30077.4,24326.64703,30843.98,23700.41923,30049.98,24013.7934,30447.31,36330.62903,36330.62903
28/06/2023,24207.12743,30692.44,24220.77194,30709.74,23549.63556,29858.8,23722.05327,30077.41,40463.51937,40463.51937
27/06/2023,23872.36371,30267.99,24445.73284,30994.97,23839.38028,30226.17,24207.12743,30692.44,42699.64157,42699.64157
26/06/2023,24025.90783,30462.67,24186.2742,30666,23605.791,29930,23872.36371,30267.99,45180.41489,45180.41489
25/06/2023,24076.99193,30527.44,24485.98809,31046.01,23879.85636,30277.49,24025.89994,30462.66,30223.44801,30223.44801
24/06/2023,24204.02784,30688.51,24291.96,30800,23858.175,30250,24076.98404,30527.43,30513.30135,30513.30135
23/06/2023,23570.2364,29884.92,24790.37108,31431.94,23503.26,29800,24204.01995,30688.5,73931.89635,73931.89635
22/06/2023,23656.18104,29993.89,24055.35,30500,23286.84861,29525.61,23570.2364,29884.92,59054.5646,59054.5646
21/06/2023,22326.5196,28308,24291.96,30800,22287.07671,28257.99,23656.18104,29993.89,108926.4041,108926.4041
20/06/2023,21172.13885,26844.35,22401.24104,28402.74,21020.4324,26652,22326.51171,28307.99,69666.95525,69666.95525
19/06/2023,20774.34223,26339.98,21348.60258,27068.09,20708.58831,26256.61,21172.13885,26844.35,35872.65974,35872.65974
18/06/2023,20913.95001,26516.99,21058.29,26700,20707.9889,26255.85,20774.33434,26339.97,21538.31022,21538.31022
17/06/2023,20778.30939,26345.01,21168.70011,26839.99,20648.9547,26181,20913.95001,26516.99,27842.2195,27842.2195
16/06/2023,20189.52906,25598.49,20914.7466,26518,19855.96417,25175.56,20778.3015,26345,51596.91662,51596.91662
15/06/2023,19818.92682,25128.6,20316.13119,25759.01,19559.76,24800,20189.52906,25598.49,48664.86063,48664.86063
14/06/2023,20454.33509,25934.24,20583.4926,26098,19575.97567,24820.56,19818.92682,25128.6,45077.31608,45077.31608
13/06/2023,20431.43124,25905.2,20847.87273,26433.21,20279.50396,25712.57,20454.34298,25934.25,41065.60853,41065.60853
12/06/2023,20447.4734,25925.54,20590.18078,26106.48,20192.38416,25602.11,20431.42335,25905.19,29900.50893,29900.50893
11/06/2023,20380.97021,25841.22,20669.36626,26206.88,20218.08789,25634.7,20447.48129,25925.55,30014.29595,30014.29595
10/06/2023,20883.04086,26477.8,20927.26327,26533.87,19999.8546,25358,20380.96233,25841.21,64944.60108,64944.60108
09/06/2023,20899.46159,26498.62,21124.01237,26783.33,20719.07802,26269.91,20883.04875,26477.81,27934.7097,27934.7097
08/06/2023,20773.83746,26339.34,21145.047,26810,20671.827,26210,20899.45371,26498.61,31075.51083,31075.51083
07/06/2023,21476.35621,27230.07,21603.889,27391.77,20604.79539,26125.01,20773.83746,26339.34,59619.44364,59619.44364
06/06/2023,20291.83134,25728.2,21575.14877,27355.33,19994.34947,25351.02,21476.3641,27230.08,68392.60438,68392.60438
05/06/2023,21385.75824,27115.2,21396.90257,27129.33,20023.5156,25388,20291.83134,25728.2,65805.60305,65805.60305
04/06/2023,21349.49381,27069.22,21653.77427,27455.02,21256.2537,26951,21385.76613,27115.21,19258.41049,19258.41049
03/06/2023,21486.23073,27242.59,21557.76582,27333.29,21227.80529,26914.93,21349.49381,27069.22,16595.34117,16595.34117
02/06/2023,21151.30139,26817.93,21531.51,27300,20904.4935,26505,21486.23073,27242.59,36380.90269,36380.90269
01/06/2023,21460.81093,27210.36,21570.945,27350,20983.40294,26605.05,21151.30139,26817.93,39217.8088,39217.8088
31/05/2023,21842.56539,27694.39,21953.86674,27835.51,21167.92719,26839.01,21460.80305,27210.35,46588.80573,46588.80573
30/05/2023,21875.69079,27736.39,22114.03593,28038.59,21731.8398,27554,21842.57328,27694.4,32686.75371,32686.75371
29/05/2023,22134.87339,28065.01,22436.25932,28447.14,21708.65202,27524.6,21875.69868,27736.4,42385.41945,42385.41945
28/05/2023,21179.97064,26854.28,22289.70308,28261.32,21109.05073,26764.36,22134.8655,28065,43916.00855,43916.00855
27/05/2023,21062.96699,26705.93,21212.0865,26895,20940.7737,26551,21179.96275,26854.27,15095.6867,15095.6867
26/05/2023,20879.88606,26473.8,21241.39459,26932.16,20764.29419,26327.24,21062.9591,26705.92,35061.18713,35061.18713
25/05/2023,20765.6823,26329,21004.64263,26631.98,20405.15964,25871.89,20879.87817,26473.79,37435.44895,37435.44895
24/05/2023,21468.10641,27219.61,21468.10641,27219.61,20569.69035,26080.5,20765.69019,26329.01,54393.0657,54393.0657
23/05/2023,21176.02714,26849.28,21685.96112,27495.83,21135.66936,26798.11,21468.10641,27219.61,38700.83858,38700.83858
22/05/2023,21095.97409,26747.78,21373.68324,27099.89,20930.68623,26538.21,21176.01925,26849.27,26458.83828,26458.83828
21/05/2023,21375.67865,27102.42,21513.80369,27277.55,21031.49786,26666.03,21095.97409,26747.78,21347.87279,21347.87279
20/05/2023,21200.46106,26880.26,21413.205,27150,21156.96426,26825.11,21375.68654,27102.43,14434.54718,14434.54718
19/05/2023,21153.94354,26821.28,21439.70532,27183.6,21003.081,26630,21200.46106,26880.26,28754.13544,28754.13544
18/05/2023,21614.81249,27405.62,21677.67977,27485.33,20791.07844,26361.2,21153.94354,26821.28,49198.65143,49198.65143
17/05/2023,21321.5975,27033.85,21689.25,27500,20935.81278,26544.71,21614.80461,27405.61,42958.97785,42958.97785
16/05/2023,21422.78771,27162.15,21529.05714,27296.89,21178.25916,26852.11,21321.58961,27033.84,33270.45451,33270.45451
15/05/2023,21229.91901,26917.61,21818.27343,27663.59,21078.7962,26726,21422.77982,27162.14,40430.08333,40430.08333
14/05/2023,21117.65545,26775.27,21452.64,27200,20948.29001,26560.53,21229.92689,26917.62,21594.8036,21594.8036
13/05/2023,21133.22439,26795.01,21330.74642,27045.45,21052.00406,26692.03,21117.66334,26775.28,22814.90421,22814.90421
12/05/2023,21270.14271,26968.61,21366.76634,27091.12,20357.4985,25811.46,21133.22439,26795.01,67207.93494,67207.93494
11/05/2023,21767.12624,27598.74,21791.89142,27630.14,21059.90684,26702.05,21270.15059,26968.62,47635.31365,47635.31365
10/05/2023,21790.42444,27628.28,22344.99095,28331.42,21119.0199,26777,21767.13413,27598.75,71155.11355,71155.11355
09/05/2023,21822.38256,27668.8,21940.0566,27818,21573.3111,27353,21790.41655,27628.27,40113.31069,40113.31069
08/05/2023,22422.81198,28430.09,22581.27759,28631.01,21501.5394,27262,21822.37467,27668.79,68244.36179,68244.36179
07/05/2023,22752.56745,28848.19,22981.36932,29138.29,22395.3179,28395.23,22422.81987,28430.1,30003.41028,30003.41028
06/05/2023,23271.06672,29505.6,23519.034,29820,22320.21,28300,22752.57534,28848.2,49249.28459,49249.28459
05/05/2023,22744.65679,28838.16,23406.2499,29677,22714.56,28800,23271.07461,29505.61,58415.83048,58415.83048
04/05/2023,22892.93239,29026.16,23171.87192,29379.83,22607.01287,28663.64,22744.65679,28838.16,42575.47501,42575.47501
03/05/2023,22611.9107,28669.85,23082.61474,29266.66,22173.2673,28113.69,22892.93239,29026.16,64615.79213,64615.79213
02/05/2023,22137.43666,28068.26,22777.56136,28879.88,21982.6464,27872,22611.91858,28669.86,50824.5224,50824.5224
01/05/2023,23056.22484,29233.2,23138.36006,29337.34,21820.92347,27666.95,22137.43666,28068.26,64433.65958,64433.65958
30/04/2023,23054.05592,29230.45,23636.85789,29969.39,22935.07263,29079.59,23056.23273,29233.21,39752.5372,39752.5372
29/04/2023,23118.1299,29311.69,23226.33166,29448.88,22896.7497,29031,23054.05592,29230.45,20466.83058,20466.83058
28/04/2023,23245.1737,29472.77,23345.1572,29599.54,22786.3317,28891,23118.13779,29311.7,54298.16578,54298.16578
27/04/2023,22411.13922,28415.29,23574.243,29890,22382.40688,28378.86,23245.1737,29472.77,95430.82431,95430.82431
26/04/2023,22320.84096,28300.8,23689.3932,30036,21480.2445,27235,22411.13922,28415.29,129228.404,129228.404
25/04/2023,21697.87049,27510.93,22399.07211,28399.99,21446.3304,27192,22320.83307,28300.79,52325.14637,52325.14637
24/04/2023,21760.69833,27590.59,22083.6,28000,21249.80213,26942.82,21697.87049,27510.93,53111.56874,53111.56874
23/04/2023,21939.1496,27816.85,21939.1496,27816.85,21540.38288,27311.25,21760.70622,27590.6,34812.09581,34812.09581
22/04/2023,21502.20191,27262.84,21991.10126,27882.72,21405.59405,27140.35,21939.1496,27816.85,36023.69686,36023.69686
21/04/2023,22275.76676,28243.65,22378.58957,28374.02,21393.4875,27125,21502.20191,27262.84,77684.7679,77684.7679
20/04/2023,22712.27277,28797.1,22941.94221,29088.3,22091.487,28010,22275.76676,28243.65,76879.09372,76879.09372
19/04/2023,23960.71389,30380.01,23987.15111,30413.53,22493.724,28520,22712.27277,28797.1,86575.48656,86575.48656
18/04/2023,23211.65395,29430.27,24043.5195,30485,22948.63039,29096.78,23960.71389,30380.01,62004.89434,62004.89434
17/04/2023,23901.28534,30304.66,23910.27652,30316.06,23062.10066,29240.65,23211.65395,29430.27,56441.81127,56441.81127
16/04/2023,23893.74537,30295.1,24094.77711,30549.99,23755.644,30120,23901.27746,30304.65,26431.99322,26431.99322
15/04/2023,24029.26769,30466.93,24130.74972,30595.6,23820.3174,30202,23893.73748,30295.09,25429.81247,25429.81247
14/04/2023,23955.84761,30373.84,24449.7,31000,23634.1842,29966,24029.26769,30466.93,75984.19452,75984.19452
13/04/2023,23572.72081,29888.07,24130.2765,30595,23546.31513,29854.59,23955.84761,30373.84,51934.11731,51934.11731
12/04/2023,23819.07914,30200.43,24044.3082,30486,23375.01738,29637.4,23572.72081,29888.07,62049.48451,62049.48451
11/04/2023,23374.97795,29637.35,24094.785,30550,23337.633,29590,23819.07125,30200.42,67990.07621,67990.07621
10/04/2023,22338.94951,28323.76,23479.599,29770,22217.679,28170,23374.97006,29637.34,67754.0622,67754.0622
09/04/2023,22035.00031,27938.38,22501.611,28530,21925.86,27800,22338.94951,28323.76,32531.16101,32531.16101
08/04/2023,22009.73036,27906.34,22205.84061,28154.99,21972.40907,27859.02,22035.00031,27938.38,19479.96735,19479.96735
07/04/2023,22110.28172,28033.83,22162.47,28100,21899.78558,27766.94,22009.72247,27906.33,24762.09387,24762.09387
06/04/2023,22217.68689,28170.01,22227.18284,28182.05,21855.6657,27711,22110.27383,28033.82,40118.94963,40118.94963
05/04/2023,22214.10619,28165.47,22694.8425,28775,21929.88237,27805.1,22217.68689,28170.01,60737.64732,60737.64732
04/04/2023,21925.86,27800,22434.12983,28444.44,21817.64247,27662.79,22214.10619,28165.47,49722.55691,49722.55691
03/04/2023,22219.15387,28171.87,22478.73081,28500.99,21452.82929,27200.24,21925.86,27800,79180.01405,79180.01405
02/04/2023,22440.67604,28452.74,22501.611,28530,21970.36634,27856.43,22219.15387,28171.87,37365.65692,37365.65692
01/04/2023,22450.62943,28465.36,22730.10528,28819.71,22257.32695,28220.27,22440.66815,28452.73,30238.44753,30238.44753
31/03/2023,22106.10161,28028.53,22601.5314,28656.69,21698.48568,27511.71,22450.62943,28465.36,78198.12139,78198.12139
30/03/2023,22358.54082,28348.6,23017.95712,29184.68,21835.9482,27686,22106.10161,28028.53,98865.43256,98865.43256
29/03/2023,21500.79802,27261.06,22596.255,28650,21484.26687,27240.1,22358.54082,28348.6,89486.16008,89486.16008
28/03/2023,21393.40863,27124.9,21705.024,27520,21004.48489,26631.78,21500.80591,27261.07,78602.44341,78602.44341
27/03/2023,22058.40104,27968.05,22102.41838,28023.86,20906.97002,26508.14,21393.41652,27124.91,88039.46898,88039.46898
26/03/2023,21660.03655,27462.96,22236.92328,28194.4,21624.38731,27417.76,22058.40104,27968.05,49671.70353,49671.70353
25/03/2023,21653.3326,27454.46,21915.86717,27787.33,21418.00818,27156.09,21660.02867,27462.95,50844.08102,50844.08102
24/03/2023,22316.59775,28295.42,22378.81041,28374.3,21294.9,27000,21653.34049,27454.47,86242.06544,86242.06544
23/03/2023,21492.84004,27250.97,22675.125,28750,21377.7135,27105,22316.58987,28295.41,128649.6082,128649.6082
22/03/2023,22168.62975,28107.81,22768.23104,28868.05,20980.83966,26601.8,21492.84004,27250.97,224113.413,224113.413
21/03/2023,21860.40579,27717.01,22429.48439,28438.55,21533.95497,27303.1,22166.78419,28105.47,420929.7422,420929.7422
20/03/2023,22062.20257,27972.87,22455.8664,28472,21393.06949,27124.47,21860.40579,27717.01,477378.2337,477378.2337
19/03/2023,21221.93736,26907.49,22391.27187,28390.1,21158.62841,26827.22,22062.20257,27972.87,372066.9905,372066.9905
18/03/2023,21606.53903,27395.13,21866.5892,27724.85,20962.0686,26578,21221.93736,26907.49,371238.9717,371238.9717
17/03/2023,19716.53779,24998.78,21891.81971,27756.84,19630.743,24890,21606.53903,27395.13,624460.6809,624460.6809
16/03/2023,19154.10004,24285.66,19849.52838,25167.4,19025.8101,24123,19716.53779,24998.78,439421.33,439421.33
15/03/2023,19457.55237,24670.41,19872.85024,25196.97,18847.52447,23896.95,19154.10004,24285.66,581450.7298,581450.7298
14/03/2023,19017.34735,24112.27,20811.32437,26386.87,18910.20245,23976.42,19457.55237,24670.41,699360.9342,699360.9342
13/03/2023,17349.86204,21998.05,19323.15,24500,17204.60716,21813.88,19018.30168,24113.48,687889.3126,687889.3126
12/03/2023,16133.43425,20455.73,17469.705,22150,15987.42222,20270.6,17349.12066,21997.11,430944.9429,430944.9429
11/03/2023,15892.8492,20150.69,16315.45044,20686.51,15588.67916,19765.03,16133.43425,20455.73,427831.8213,427831.8213
10/03/2023,16059.67503,20362.21,16064.06809,20367.78,15418.36728,19549.09,15892.8492,20150.69,618456.4671,618456.4671
09/03/2023,17118.23662,21704.37,17221.25661,21834.99,15807.69326,20042.72,16059.68291,20362.22,443658.2858,443658.2858
08/03/2023,17508.00427,22198.56,17577.7569,22287,17020.146,21580,17119.08053,21705.44,301460.5727,301460.5727
07/03/2023,17674.30167,22409.41,17791.42362,22557.91,17293.8249,21927,17507.53105,22197.96,292519.8091,292519.8091
06/03/2023,17690.73029,22430.24,17826.34725,22602.19,17554.8846,22258,17674.767,22410,203751.8296,203751.8296
05/03/2023,17624.73976,22346.57,17873.59038,22662.09,17500.63781,22189.22,17690.73029,22430.24,154841.7579,154841.7579
04/03/2023,17630.86796,22354.34,17674.767,22410,17475.289,22157.08,17624.73976,22346.57,121257.3813,121257.3813
03/03/2023,18507.09788,23465.32,18516.27047,23476.95,17328.63023,21971.13,17630.86796,22354.34,319954.1979,319954.1979
02/03/2023,18636.79171,23629.76,18768.63869,23796.93,18294.60633,23195.9,18507.09788,23465.32,239315.4522,239315.4522
01/03/2023,18251.75626,23141.57,18928.8,24000,18155.89766,23020.03,18636.16864,23628.97,315287.4174,315287.4174
28/02/2023,18528.21138,23492.09,18613.32,23600,18156.63904,23020.97,18251.75626,23141.57,264140.9989,264140.9989
27/02/2023,18577.7102,23554.85,18848.34471,23897.99,18224.3095,23106.77,18528.21138,23492.09,283706.0859,283706.0859
26/02/2023,18263.98111,23157.07,18684.29511,23689.99,18186.77527,23059.18,18577.7102,23554.85,202323.7362,202323.7362
25/02/2023,18285.25235,23184.04,18312.92783,23219.13,17920.8414,22722,18263.98111,23157.07,191311.8101,191311.8101
24/02/2023,18881.63574,23940.2,19033.18445,24132.35,18014.84655,22841.19,18286.23822,23185.29,343582.5745,343582.5745
23/02/2023,19072.50903,24182.21,19401.69663,24599.59,18619.6296,23608,18881.63574,23940.2,398400.4544,398400.4544
22/02/2023,19284.24343,24450.67,19304.26064,24476.05,18593.358,23574.69,19072.50903,24182.21,379425.7537,379425.7537
21/02/2023,19594.37604,24843.89,19914.675,25250,19045.79576,24148.34,19285.41859,24452.16,376000.8287,376000.8287
20/02/2023,19143.72864,24272.51,19813.1141,25121.23,18803.26262,23840.83,19593.04314,24842.2,346938.57,346938.57
19/02/2023,19427.29784,24632.05,19868.9304,25192,19080.67996,24192.57,19143.13711,24271.76,300395.9954,300395.9954
18/02/2023,19376.97089,24568.24,19620.4899,24877,19267.941,24430,19427.21897,24631.95,216917.2521,216917.2521
17/02/2023,18548.42576,23517.72,19734.14946,25021.11,18407.76112,23339.37,19378.33534,24569.97,496813.2138,496813.2138
16/02/2023,19183.44757,24322.87,19914.675,25250,18538.59068,23505.25,18548.42576,23517.72,450080.6837,450080.6837
15/02/2023,17509.01381,22199.84,19228.506,24380,17388.68974,22047.28,19184.37824,24324.05,375669.1611,375669.1611
14/02/2023,17173.65068,21774.63,17603.0584,22319.08,16982.8957,21532.77,17509.01381,22199.84,361958.4011,361958.4011
13/02/2023,17179.75522,21782.37,17268.57861,21894.99,16839.58891,21351.07,17173.13014,21773.97,295730.7679,295730.7679
12/02/2023,17242.57517,21862.02,17422.383,22090,17059.581,21630,17180.678,21783.54,204435.6516,204435.6516
11/02/2023,17055.78735,21625.19,17277.51458,21906.32,17035.74649,21599.78,17242.99319,21862.55,177021.5843,177021.5843
10/02/2023,17191.94852,21797.83,17302.62679,21938.16,16918.4037,21451,17055.78735,21625.19,338591.9425,338591.9425
09/02/2023,18110.0111,22961.85,18149.08329,23011.39,17105.3256,21688,17190.78125,21796.35,402894.6955,402894.6955
08/02/2023,18331.29665,23242.42,18496.5924,23452,17876.5559,22665.85,18110.9181,22963,280056.3072,280056.3072
07/02/2023,17952.79952,22762.52,18416.34218,23350.25,17939.59669,22745.78,18329.7508,23240.46,308006.7248,308006.7248
06/02/2023,18087.18612,22932.91,18264.91178,23158.25,17846.80613,22628.13,17952.79952,22762.52,265371.6069,265371.6069
05/02/2023,18398.52544,23327.66,18481.86737,23433.33,17937.4041,22743,18087.18612,22932.91,209251.3392,209251.3392
04/02/2023,18480.73953,23431.9,18603.68209,23587.78,18340.39825,23253.96,18397.87871,23326.84,166126.473,166126.473
03/02/2023,18526.03457,23489.33,18704.57259,23715.7,18301.48379,23204.62,18480.73953,23431.9,332571.029,332571.029
02/02/2023,18716.96307,23731.41,19129.9185,24255,18426.61105,23363.27,18525.72698,23488.94,364177.2075,364177.2075
01/02/2023,18238.79003,23125.13,18781.04494,23812.66,17950.9934,22760.23,18717.94894,23732.66,310790.4227,310790.4227
31/01/2023,18003.95461,22827.38,18392.484,23320,17915.1391,22714.77,18238.79003,23125.13,264649.3491,264649.3491
30/01/2023,18726.39592,23743.37,18771.46224,23800.51,17745.75,22500,18002.98451,22826.15,302405.9012,302405.9012
29/01/2023,18156.97818,23021.4,18897.6779,23960.54,18114.67231,22967.76,18725.55201,23742.3,295688.792,295688.792
28/01/2023,18198.58999,23074.16,18289.1643,23189,18044.2414,22878.46,18157.92462,23022.6,148115.7109,148115.7109
27/01/2023,18147.71096,23009.65,18534.45,23500,17773.25986,22534.88,18198.58999,23074.16,280833.8632,280833.8632
26/01/2023,18187.75325,23060.42,18362.88409,23282.47,18021.80289,22850.01,18147.71096,23009.65,288924.4358,288924.4358
25/01/2023,17849.81108,22631.94,18784.25495,23816.73,17588.01,22300,18188.16338,23060.94,346042.8322,346042.8322
24/01/2023,18075.27675,22917.81,18268.02714,23162.2,17716.51289,22462.93,17850.56034,22632.89,293158.7825,293158.7825
23/01/2023,17908.23797,22706.02,18282.066,23180,17745.75,22500,18074.20412,22916.45,293588.3794,293588.3794
22/01/2023,17969.22815,22783.35,18202.17858,23078.71,17581.99222,22292.37,17909.70496,22707.88,253577.7529,253577.7529
21/01/2023,17876.6742,22666,18433.33866,23371.8,17684.2314,22422,17969.38589,22783.55,346445.4843,346445.4843
20/01/2023,16619.16303,21071.59,17947.60199,22755.93,16453.29154,20861.28,17877.62853,22667.21,338079.1366,338079.1366
19/01/2023,16308.32059,20677.47,16714.1304,21192,16293.90315,20659.19,16619.16303,21071.59,251385.8493,251385.8493
18/01/2023,16667.03712,21132.29,17075.355,21650,16095.11921,20407.15,16308.32059,20677.47,350916.0195,350916.0195
17/01/2023,16709.12216,21185.65,17073.34382,21647.45,16437.5412,20841.31,16669.02465,21134.81,275407.7441,275407.7441
16/01/2023,16462.52721,20872.99,16936.58324,21474.05,16256.27428,20611.48,16709.12216,21185.65,293078.0826,293078.0826
15/01/2023,16525.44181,20952.76,16602.71864,21050.74,16208.58159,20551.01,16461.35205,20871.5,178542.2255,178542.2255
14/01/2023,15718.79889,19930.01,16766.1846,21258,15685.70504,19888.05,16527.1454,20954.92,393913.7495,393913.7495
13/01/2023,14864.32919,18846.62,15774,20000,14759.82644,18714.12,15718.79889,19930.01,368615.8782,368615.8782
12/01/2023,14151.84916,17943.26,15077.60945,19117.04,14111.45984,17892.05,14864.32919,18846.62,454568.3218,454568.3218
11/01/2023,13755.43277,17440.64,14196.6,18000,13656.81372,17315.6,14151.84916,17943.26,262221.6065,262221.6065
10/01/2023,13549.10885,17179.04,13801.4613,17499,13523.31836,17146.34,13755.44854,17440.66,221382.4258,221382.4258
09/01/2023,13508.71952,17127.83,13722.43356,17398.8,13490.44534,17104.66,13548.49366,17178.26,266211.5272,266211.5272
08/01/2023,13363.59872,16943.83,13547.49201,17176.99,13337.7057,16911,13508.71952,17127.83,135155.897,135155.897
07/01/2023,13368.7095,16950.31,13393.63242,16981.91,13335.3396,16908,13363.39366,16943.57,104526.5688,104526.5688
06/01/2023,13275.2801,16831.85,13440.2367,17041,13154.7273,16679,13368.97766,16950.65,207401.2842,207401.2842
05/01/2023,13289.87893,16850.36,13313.11403,16879.82,13213.0911,16753,13275.2801,16831.85,163473.5664,163473.5664
04/01/2023,13152.08516,16675.65,13401.48787,16991.87,13133.95294,16652.66,13289.87893,16850.36,220362.1886,220362.1886
03/01/2023,13149.82159,16672.78,13233.12408,16778.4,13096.58434,16605.28,13151.71447,16675.18,159541.5373,159541.5373
02/01/2023,13105.96198,16617.17,13249.5527,16799.23,13051.95969,16548.7,13149.89257,16672.87,121888.5719,121888.5719
01/01/2023,13046.494,16541.77,13114.5036,16628,13012.76919,16499.01,13105.63073,16616.75,96925.41374,96925.41374
31/12/2022,13098.31948,16607.48,13127.19378,16644.09,12989.889,16470,13046.99088,16542.4,114490.4286,114490.4286
30/12/2022,13118.81779,16633.47,13153.42595,16677.35,12881.8371,16333,13098.31948,16607.48,164916.3117,164916.3117
29/12/2022,13050.87128,16547.32,13143.22017,16664.41,13004.80332,16488.91,13118.81779,16633.47,160998.4716,160998.4716
28/12/2022,13176.06952,16706.06,13238.47935,16785.19,12986.20577,16465.33,13050.8634,16547.31,193037.5658,193037.5658
27/12/2022,13344.32289,16919.39,13386.47102,16972.83,13086.40222,16592.37,13176.30613,16706.36,173749.5862,173749.5862
26/12/2022,13275.48516,16832.11,13364.14292,16944.52,13243.0617,16791,13344.32289,16919.39,124564.0066,124564.0066
25/12/2022,13278.34025,16835.73,13295.87305,16857.96,13187.8527,16721,13275.48516,16832.11,125441.072,125441.072
24/12/2022,13233.21872,16778.52,13305.36111,16869.99,13231.72019,16776.62,13278.64784,16836.12,100224.291,100224.291
23/12/2022,13267.43253,16821.9,13372.51892,16955.14,13195.84223,16731.13,13233.20295,16778.5,161612.0095,161612.0095
22/12/2022,13269.62512,16824.68,13304.20172,16868.52,13060.7537,16559.85,13267.06184,16821.43,176044.2724,176044.2724
21/12/2022,13325.99351,16896.15,13348.7475,16925,13189.4301,16723,13269.61723,16824.67,156810.9636,156810.9636
20/12/2022,12965.34466,16438.88,13456.22365,17061.27,12932.47164,16397.2,13325.52817,16895.56,248808.9232,248808.9232
19/12/2022,13202.0493,16739,13262.77131,16815.99,12821.34381,16256.3,12965.34466,16438.88,179094.2831,179094.2831
18/12/2022,13232.4458,16777.54,13300.05316,16863.26,13142.16331,16663.07,13201.42623,16738.21,112619.3165,112619.3165
17/12/2022,13117.26405,16631.5,13247.65193,16796.82,13076.5277,16579.85,13231.64132,16776.52,144825.6668,144825.6668
16/12/2022,13689.43435,17356.96,13827.27545,17531.73,13035.09728,16527.32,13117.75304,16632.12,253379.0412,253379.0412
15/12/2022,14042.02269,17804.01,14082.09653,17854.82,13625.19474,17275.51,13688.94536,17356.34,223701.9688,223701.9688
14/12/2022,14019.78923,17775.82,14502.57617,18387.95,13929.18338,17660.94,14041.34441,17803.15,266681.2221,266681.2221
13/12/2022,13572.68309,17208.93,14196.6,18000,13471.10642,17080.14,14018.90589,17774.7,284462.9139,284462.9139
12/12/2022,13474.97894,17085.05,13598.67864,17241.89,13306.8281,16871.85,13573.39292,17209.83,226227.4969,226227.4969
11/12/2022,13508.45136,17127.49,13621.62981,17270.99,13463.8977,17071,13474.97894,17085.05,155286.4787,155286.4787
10/12/2022,13509.29527,17128.56,13587.50276,17227.72,13480.4604,17092,13508.45136,17127.49,140573.9794,140573.9794
09/12/2022,13584.64767,17224.1,13691.832,17360,13453.81023,17058.21,13509.29527,17128.56,238422.0647,238422.0647
08/12/2022,13279.05797,16836.64,13643.7213,17299,13197.70356,16733.49,13584.64767,17224.1,236417.978,236417.978
07/12/2022,13478.06275,17088.96,13520.06103,17142.21,13154.59322,16678.83,13279.05797,16836.64,220657.4133,220657.4133
06/12/2022,13381.36025,16966.35,13492.29879,17107.01,13334.05402,16906.37,13478.06275,17088.96,218730.7688,218730.7688
05/12/2022,13492.01486,17106.65,13742.50598,17424.25,13303.0029,16867,13381.36025,16966.35,233703.2923,233703.2923
04/12/2022,13317.35724,16885.2,13567.87991,17202.84,13311.87578,16878.25,13491.26559,17105.7,178619.1339,178619.1339
03/12/2022,13480.56293,17092.13,13556.94853,17188.98,13296.48824,16858.74,13317.35724,16885.2,154542.5731,154542.5731
